Web ID,Region,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
52436,US-Mexico Border,"September 17, 2019",2019,Sep,1,,1,,,1,,Drowning,"Río Bravo, near ejido Centinela, Piedras Negras, Coahuila, Mexico",Contrapunto,"28.727462890595, -100.507922294930",Central America to US,http://bit.ly/2kt1cAo,Central America,1
52437,US-Mexico Border,"September 17, 2019",2019,Sep,1,,1,,,1,,Drowning,"Canal next to the César Chávez Border Highway by Fonseca Drive, El Paso, El Paso County, Texas, USA","El Paso Times, La Jornada","31.753616299345, -106.417258984670",Central America to US,"http://bit.ly/2kSBxRB, http://bit.ly/2m0utCE",Northern America,3
52951,Middle East,"September 17, 2019",2019,Sep,3,,3,,,,,"Harsh weather/lack of adequate shelter, Suffocation","Izmir, Turkey",Mixed Migration Monitoring Mechanism Initiative (4Mi),"38.390149000000, 27.109922000000",,,Western Asia,2
52435,Central America,"September 17, 2019",2019,Sep,1,,1,,,1,,Sickness and lack of access to medicines,"Near migrant shelter San Francisco, Tehuacán, Puebla, Mexico","Milenio, El Sol de Puebla","18.509727048315, -97.409583062974",,"http://bit.ly/2m2ogGj, http://bit.ly/2lUWqMo",Central America,3
53496,North Africa,"September 17, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Dehydration","Kufra, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.848018000000, 21.993292000000",,,Northern Africa,2
52441,Mediterranean,"September 17, 2019",2019,Sep,1,,1,,,1,,Drowning,"Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)",Association Marocaine des Droits Humains - Section Nador,"35.247147751476, -3.164730754659",Western Mediterranean,http://bit.ly/2m4ywxN,Uncategorized,4
52700,US-Mexico Border,"September 17, 2019",2019,Sep,1,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.064820600000, -112.472643900000",Central America to US,http://www.humaneborders.info/,Northern America,5
54637,Horn of Africa,"September 16, 2019",2019,Sep,1,,1,,,1,,Violence (killed in fight),"Bosaso, Somalia",IOM Somalia,"11.275540700000, 49.187899400000",,,Eastern Africa,4
53494,North Africa,"September 16, 2019",2019,Sep,1,,1,,,1,,Sickness and lack of access to medicines,"On the road to Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.022490000000, 14.440990000000",,,Northern Africa,2
52698,US-Mexico Border,"September 16, 2019",2019,Sep,1,,1,,,1,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.910019300000, -111.808035200000",Central America to US,http://www.humaneborders.info/,Northern America,5
52697,US-Mexico Border,"September 16, 2019",2019,Sep,1,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.947253300000, -112.058614800000",Central America to US,http://www.humaneborders.info/,Northern America,5
52434,US-Mexico Border,"September 16, 2019",2019,Sep,1,,1,,1,,,Drowning,"Río Bravo, near Donna-Río Bravo International Bridge, Tamaulipas, Mexico","El Mañana, Vox Pópuli","26.066558587779, -98.076219015077",Central America to US,"http://bit.ly/2mjInzX, http://bit.ly/2kHZJq5",Central America,3
53495,Sub-Saharan Africa,"September 16, 2019",2019,Sep,1,,1,,,1,,Dehydration,"Unspecified location in the Sahara desert, Niger, near border with Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.753382000000, 13.804316000000",,,Western Africa,2
53493,North Africa,"September 15, 2019",2019,Sep,2,,2,,2,,,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",,,Northern Africa,2
53492,North Africa,"September 15, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation, Dehydration","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"31.764020000000, 14.035110000000",,,Northern Africa,2
53214,Sub-Saharan Africa,"September 15, 2019",2019,Sep,1,,1,,1,,,"Sickness and lack of access to medicines, Excessive Physical Abuse","Kidira, Senegal",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-12.211369000000, 14.458665000000",,,Western Africa,2
52950,Southeast Asia,"September 15, 2019",2019,Sep,3,,3,,2,1,2,"Sickness and lack of access to medicine, Starvation, Harsh weather/lack of adequate shelter","Bangkok, Thailand",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.738916000000, 100.442402000000",,,,2
52949,Middle East,"September 15, 2019",2019,Sep,2,,2,,1,1,2,Unknown,"Adana, Turkey",Mixed Migration Monitoring Mechanism Initiative (4Mi),"37.128998000000, 35.919804000000",,,Western Asia,2
52948,Southeast Asia,"September 15, 2019",2019,Sep,1,,1,,,1,,Unknown,"Jakarata, Indonesia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-6.122906000000, 106.714503000000",,,,2
52947,Southeast Asia,"September 14, 2019",2019,Sep,2,,2,,1,1,2,"Sickness and lack of access to medicine, Starvation, Harsh weather/lack of adequate shelter","Ranong, Thailand",Mixed Migration Monitoring Mechanism Initiative (4Mi),"10.125931000000, 98.714696000000",,,,2
52946,Middle East,"September 14, 2019",2019,Sep,1,,1,,,1,,"Starvation, Harsh weather/lack of adequate shelter","Close to the border with Iran, Turkey",Mixed Migration Monitoring Mechanism Initiative (4Mi),"37.882945000000, 44.026199000000",,,Western Asia,2
52428,Caribbean,"September 14, 2019",2019,Sep,3,,3,11,,,,Drowning,"Off the coast of Playa Martinica, Aguadilla, Puerto Rico",US Border Patrol,"18.513426343887, -67.150985613449",,"http://bit.ly/2mivS7Y, http://bit.ly/2mjbKma, http://bit.ly/2m0vPNJ",Caribbean,5
52844,US-Mexico Border,"September 14, 2019",2019,Sep,1,,1,,,1,,Drowning,"All American Canal, Calexico, Imperial County, California, USA",Imperial County Coroner's Office,"32.662404339540, -115.537249717750",Central America to US,,Northern America,5
53491,North Africa,"September 14, 2019",2019,Sep,2,,2,,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"31.764020000000, 14.035110000000",,,Northern Africa,2
52444,US-Mexico Border,"September 14, 2019",2019,Sep,1,,1,,,1,,Unknown (skeletal remains),"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"26.962501412677, -98.293211366797",Central America to US,https://bit.ly/2l1grRh,Northern America,1
52433,US-Mexico Border,"September 14, 2019",2019,Sep,2,,2,,,2,,Drowning,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel 12","28.727691607932, -100.508059818540",Central America to US,"http://bit.ly/2mi3D9f, http://bit.ly/2mmU218",Central America,3
53488,North Africa,"September 13, 2019",2019,Sep,3,,3,,1,1,,"Sickness and lack of access to medicines, Starvation, Dehydration, Excessive Physical Abuse","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.358277000000, 22.388895000000",,,Northern Africa,2
53487,North Africa,"September 13, 2019",2019,Sep,1,,1,,1,,1,"Sickness and lack of access to medicines, Dehydration","Unspecified location in the Sahara Desert, near Kufra, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",,,Northern Africa,2
52427,US-Mexico Border,"September 13, 2019",2019,Sep,1,,1,,,1,,Dehydration,"Ranch southwest of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"26.975419020731, -98.236322802092",Central America to US,http://bit.ly/2mdSO89,Northern America,1
52451,US-Mexico Border,"September 13, 2019",2019,Sep,1,,1,,,1,,Unknown,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"26.932000971238, -98.226225375945",Central America to US,http://bit.ly/2mOowJI,Northern America,1
52426,Mediterranean,"September 13, 2019",2019,Sep,,4,4,1,,,,Presumed drowning,"15 miles off the coast of Marettimo, Sicily, Italy",IOM Italy,"37.949458912014, 11.983127132731",Central Mediterranean,http://bit.ly/2kmw0CP,Uncategorized,4
53490,North Africa,"September 13, 2019",2019,Sep,1,,1,,,1,,Sickness and lack of access to medicines,"Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"32.895340000000, 13.181050000000",,,Northern Africa,2
53489,North Africa,"September 13, 2019",2019,Sep,5,,5,,2,1,1,Vehicle Accident,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",,,Northern Africa,2
53486,North Africa,"September 12, 2019",2019,Sep,1,,1,,1,,1,"Sickness and lack of access to medicines, Starvation, Dehydration","Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"38.120720000000, 13.307010000000",,,Northern Africa,2
52425,Europe,"September 12, 2019",2019,Sep,1,,1,8,,,,Vehicle Accident,"Egnatia highway, near Komotini, Greece","Ekathimerini, Voria, IOM Greece","41.094866935213, 25.406005057255",,"http://bit.ly/2mkfdAX, http://bit.ly/2lY1sYc",Southern Europe,4
52779,Mediterranean,"September 11, 2019",2019,Sep,1,,1,,,1,,Presumed drowning,"Beach in Castillo de Manilva, Málaga, Spain",La Vanguardia,"36.350937341749, -5.231617462154",Western Mediterranean,https://bit.ly/2Furqt6,Uncategorized,1
53485,Sub-Saharan Africa,"September 11, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"16.973140000000, 7.989740000000",,,Northern Africa,2
53484,Sub-Saharan Africa,"September 11, 2019",2019,Sep,1,,1,,1,,,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"16.973140000000, 7.989740000000",,,Northern Africa,2
52405,US-Mexico Border,"September 11, 2019",2019,Sep,2,,2,35,1,1,1,Drowning,"Río Bravo, near San Felipe Creek, Del Rio, Val Verde County, Texas","CNN, Univisión, Telemundo","29.326039842099, -100.919307459890",Central America to US,"https://cnn.it/2mmuLE9, http://bit.ly/2kHXZ00, https://tlmdo.co/2lZ6zrh",Northern America,3
53206,Sub-Saharan Africa,"September 10, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-1.521050000000, 12.368721000000",,,Western Africa,2
53483,North Africa,"September 10, 2019",2019,Sep,1,,1,,,1,,Dehydration,"Unspecified location in the Sahara Desert, Libya, near border with Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.358277000000, 22.388895000000",,,Northern Africa,2
52424,Middle East,"September 09, 2019",2019,Sep,1,,1,,,1,,Drowning,"Evros/Meriç river, near Yenikadın, Edirne, Turkey","CNN Türk, Hurriyet","41.686784185245, 26.437765783120",,"http://bit.ly/2mkfAeP, http://bit.ly/2kBGxdz",Western Asia,3
53481,Sub-Saharan Africa,"September 09, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation","Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"16.973140000000, 7.989740000000",,,Northern Africa,2
53208,Sub-Saharan Africa,"September 09, 2019",2019,Sep,2,,2,,,2,,Sickness and lack of access to medicines,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),"2.387595000000, 6.369104000000",,,Western Africa,2
52696,US-Mexico Border,"September 09, 2019",2019,Sep,1,,1,,,1,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.349332500000, -110.139376200000",Central America to US,http://www.humaneborders.info/,Northern America,5
53207,Sub-Saharan Africa,"September 09, 2019",2019,Sep,1,,1,,1,,,"Sickness and lack of access to medicines, Starvation, Dehydration","Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-7.995856000000, 12.617282000000",,,Western Africa,2
53482,North Africa,"September 09, 2019",2019,Sep,2,,2,,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"31.764020000000, 14.035110000000",,,Northern Africa,2
53204,Sub-Saharan Africa,"September 08, 2019",2019,Sep,2,,2,,2,,,Sickness and lack of access to medicines,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),"2.387595000000, 6.369104000000",,,Western Africa,2
53480,North Africa,"September 08, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Excessive Physical Abuse","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.022490000000, 14.440990000000",,,Northern Africa,2
53479,North Africa,"September 08, 2019",2019,Sep,2,,2,,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",,,Northern Africa,2
53478,North Africa,"September 08, 2019",2019,Sep,1,,1,,1,,,"Sickness and lack of access to medicines, Sexual abuse","Brak, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.546820000000, 14.267570000000",,,Northern Africa,2
53477,North Africa,"September 08, 2019",2019,Sep,2,,2,,,2,2,Dehydration,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",,,Northern Africa,2
53476,Sub-Saharan Africa,"September 08, 2019",2019,Sep,2,,2,,1,1,,"Sickness and lack of access to medicines, Starvation, Dehydration","Unspecified location in the Sahara desert, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.753382000000, 13.804316000000",,,Western Africa,2
53205,Sub-Saharan Africa,"September 08, 2019",2019,Sep,1,,1,,,1,1,,"Fada-Ngourma, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"0.363461000000, 12.058941000000",,,Western Africa,2
52001,North Africa,"September 07, 2019",2019,Sep,1,,1,,,1,,Violence,"Bolingo forest, near Nador, Morocco","Association Marocaine des Droits Humains - Section Nador, Caminando Fronteras","35.204391764075, -2.925109863281",,"http://bit.ly/2k6OFlN, http://bit.ly/2knuWi5, http://bit.ly/2m1WIRr",Northern Africa,4
52000,Europe,"September 07, 2019",2019,Sep,1,,1,,,1,,Head injury,"Body recovered in Dora river, near Bardonecchia, Piamonte, Italy","Il Corriere de la Sera, La Reppublica","45.079408592493, 6.700213388391",Italy to France,"http://bit.ly/2lDG4ro, http://bit.ly/2m7kCv2",Southern Europe,3
52754,Mediterranean,"September 07, 2019",2019,Sep,,1,1,16,,,,Drowning,"Off the coast of Misrata, Libya",UNHCR,"32.448179878103, 15.158001844758",Central Mediterranean,,Uncategorized,4
53227,Sub-Saharan Africa,"September 07, 2019",2019,Sep,1,,1,,,1,,Sickness and lack of access to medicines,"Nouakchott, Mauritania",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-15.955289000000, 18.071763000000",,,Western Africa,2
52695,US-Mexico Border,"September 07, 2019",2019,Sep,1,,1,,,1,,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",Central America to US,http://www.humaneborders.info/,Northern America,5
52671,US-Mexico Border,"September 06, 2019",2019,Sep,1,,1,,,1,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"31.964036100000, -111.953480900000",Central America to US,http://www.humaneborders.info/app/mapa.asp,Northern America,5
53203,Sub-Saharan Africa,"September 06, 2019",2019,Sep,1,,1,,1,,,Sickness and lack of access to medicines,"Koupela, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-0.351305000000, 12.179216000000",,,Western Africa,2
51999,Mediterranean,"September 06, 2019",2019,Sep,1,,1,13,1,,,Sickness and lack of access to medicine,"Samos hospital shortly after being rescued off the coast of Kokkari, Samos, Greece",IOM Greece,"37.754785700000, 26.977770100000",Eastern Mediterranean,http://bit.ly/2kylsk3,Uncategorized,4
51998,US-Mexico Border,"September 06, 2019",2019,Sep,1,,1,,,1,,Sickness,"Hospital in San Antonio, Texas after being rescued from the Río Bravo near Eagle Pass, Maverick County, Texas, USA",US Border Patrol,"29.424121900000, -98.493628200000",Central America to US,http://bit.ly/2lEKVbI,Northern America,5
53475,North Africa,"September 05, 2019",2019,Sep,1,,1,,1,,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"31.764020000000, 14.035110000000",,,Northern Africa,2
52432,Mediterranean,"September 05, 2019",2019,Sep,,4,4,,,4,,Presumed drowning,"Off the coast of Bouyafar, Morocco (Alboran Sea)","El Faro de Ceuta, EFE, Association Marocaine des Droits Humains - Section Nador","35.837725415025, -3.356083848156",Western Mediterranean,"http://bit.ly/2lQNNm0, http://bit.ly/2lVZckA, http://bit.ly/2kPqHfk, http://bit.ly/2mqcdTC",Uncategorized,4
53474,North Africa,"September 05, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter","Tamanrasset, Algeria",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.787960000000, 5.527180000000",,,Northern Africa,2
52843,US-Mexico Border,"September 05, 2019",2019,Sep,1,,1,,,1,,Hyperthermia,"Open Desert near Calexico, California, Imperial County, California, USA",Imperial County Coroner's Office,"32.665583628840, -115.532443199190",Central America to US,,Northern America,5
51997,US-Mexico Border,"September 05, 2019",2019,Sep,1,,1,,,1,,Drowning,"Río Bravo, near poblado Venecia, Reynosa, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana","26.095001305916, -98.273011631016",Central America to US,"http://bit.ly/2m7mXpO, http://bit.ly/2lJkhi4",Central America,3
53210,Sub-Saharan Africa,"September 04, 2019",2019,Sep,1,,1,,,1,,Sickness and lack of access to medicines,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-5.691763000000, 11.316677000000",,,Western Africa,2
53473,North Africa,"September 04, 2019",2019,Sep,1,,1,,1,,,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"38.120720000000, 13.307010000000",,,Northern Africa,2
53472,North Africa,"September 04, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.022490000000, 14.440990000000",,,Northern Africa,2
52753,Mediterranean,"September 04, 2019",2019,Sep,1,,1,,,,,Unknown,"Off the coast of Azzawya, Libya",IOM Libya,"32.823751962520, 12.732071058040",Central Mediterranean,,Uncategorized,4
52407,US-Mexico Border,"September 04, 2019",2019,Sep,1,,1,,,1,,Drowning,"Río Bravo, near Eagle Pass, Maverick County, Texas, USA","La Rancherita del Aire, Conexión Migrante","28.719389776553, -100.507124167020",Central America to US,"http://bit.ly/2lSl3cg, http://bit.ly/2suDDLw, http://bit.ly/2QY84TT",Northern America,3
53471,Sub-Saharan Africa,"September 04, 2019",2019,Sep,2,,2,,,2,,Vehicle Accident,"Sahara Desert, Libya, near border with Chad",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.796812000000, 18.193906000000",,,Northern Africa,2
53469,Sub-Saharan Africa,"September 03, 2019",2019,Sep,1,,1,,,1,,Sickness and lack of access to medicines,"Ndjamena, Chad",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.113160000000, 15.049120000000",,,Northern Africa,2
51994,Southeast Asia,"September 03, 2019",2019,Sep,1,,1,,,1,,Killed by landmine blast,"Myanmar-Bangladesh border, near Gundum border town","AFP, BDnews24","21.191071718689, 92.183833394287",,"http://bit.ly/2kthQzC, http://bit.ly/2ktqRsz",South-eastern Asia,3
53468,Sub-Saharan Africa,"September 03, 2019",2019,Sep,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation","Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"16.973140000000, 7.989740000000",,,Northern Africa,2
51993,Mediterranean,"September 03, 2019",2019,Sep,,15,15,2,,,,Drowning,"40 miles south-east of Cabo de Gata, Almería, Spain ","Salvamento Marítimo via eldiario.es, La Voz de Almería, El Watan","36.592468317565, -1.720397814063",Western Mediterranean,"http://bit.ly/2lBlUhn, http://bit.ly/2jWcigQ, http://bit.ly/2m1iHYV, http://bit.ly/2kpb1iz",Uncategorized,3
53470,North Africa,"September 03, 2019",2019,Sep,2,,2,,1,1,1,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"31.764020000000, 14.035110000000",,,Northern Africa,2
52423,Middle East,"September 02, 2019",2019,Sep,1,,1,,,1,,Drowning,"Irrigation canal near Evros/Meriç river, Yenikarpuzlu, İpsala, Edirne, Turkey","EASO Social Media Monitoring Reports, Hurriyet, CNN Türk","40.847612997271, 26.223870566044",,"http://bit.ly/2mkiikB, http://bit.ly/2kzS4dj",Western Asia,3
53032,Horn of Africa,"September 02, 2019",2019,Sep,2,,2,,,2,,"Sickness and lack of access to medicines, Starvation, Dehydration","Tadjoura, Djibouti",Mixed Migration Monitoring Mechanism Initiative (4Mi),"11.790683000000, 42.883085000000",,,Eastern Africa,2
52412,Central America,"September 02, 2019",2019,Sep,1,,1,,,1,,Fall from train,"Train tracks near Santa Ana Chiautempan, Tlaxcala, Mexico",Puebla Roja,"19.314037774345, -98.190767327239",,http://bit.ly/2kj1ud2,Central America,1
51984,Mediterranean,"September 01, 2019",2019,Sep,1,,1,,,1,1,Cardiac arrest,"Port of Ceuta, Spain",El Faro de Ceuta,"35.893350500000, -5.320966600000",Western Mediterranean,"http://bit.ly/2knjgvs, http://bit.ly/2lo2Kvs",Uncategorized,3
51992,US-Mexico Border,"September 01, 2019",2019,Sep,1,,1,,,,,Drowning,"American Canal near El Paso, El Paso County, Texas, USA",US Border Patrol,"31.751634695944, -106.492510924610",Central America to US,http://bit.ly/2lzTlky,Northern America,5
52945,Southeast Asia,"September 01, 2019",2019,Sep,3,,3,,2,1,1,"Sickness and lack of access to medicine, Starvation, Harsh weather/lack of adequate shelter","Bangkok, Thailand",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.747905000000, 100.438095000000",,,,2
51986,North Africa,"September 01, 2019",2019,Sep,11,,11,3,,,,Vehicle Accident,"400km north of Bordj Badji Mokhtar, en route to Reggane, Adrar, Algeria","El Watan, Réflexion, ALG24","24.404460353983, -0.316673172573",,"http://bit.ly/2ls8dBC, http://bit.ly/2knudgA, http://bit.ly/2lu3Zcy",Northern Africa,3
54636,Horn of Africa,"August 31, 2019",2019,Aug,4,,4,32,,4,,Shot,"Hingaloola, Sanaag region, Somalia",IOM Somalia,"10.393821800000, 47.763756500000",,,Eastern Africa,4
52416,US-Mexico Border,"August 31, 2019",2019,Aug,1,,1,,,1,,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.545539900000, -111.307293900000",Central America to US,http://www.humaneborders.info/,Northern America,5
54635,Horn of Africa,"August 31, 2019",2019,Aug,6,,6,26,,6,,Vehicle Accident,"Bosaso, Somalia",IOM Somalia,"11.275540700000, 49.187899400000",,,Eastern Africa,4
54061,South America,"August 31, 2019",2019,Aug,1,,1,,,1,,Presumed heart attack,"Open Field, Comuneros of Valdivia, Ecuador, Ecuador-Colombia Border",Diario las Americas,"1.108481234991, -78.285248756250",,https://archive.ph/wByKu,South America,1
52609,South America,"August 31, 2019",2019,Aug,1,,1,2,,1,,Vehicle Accident,"Road near puente Helicoidal, Calarcá, Quindío, Colombia - en route to Cali","La Crónica del Quindío, Minuto 30","4.526179753485, -75.635161397860",,"http://bit.ly/35epPm1, http://bit.ly/2CVQsQG",South America,3
51985,North Africa,"August 29, 2019",2019,Aug,1,22,23,9,,1,,Drowning,"65km north of Dakhla, Western Sahara Territory / Morocco - en route to the Canary Islands","Alarm Phone, Dakhla News, Hespress, Alyaoum 24, Caminando Fronteras","24.781866727395, -16.246628178823",Western Africa / Atlantic route to the Canary Islands,"http://bit.ly/2jZELTa, http://bit.ly/2lV0jAV, http://bit.ly/2knMri8, http://bit.ly/2knMri8, http://bit.ly/2jVpbYy, http://bit.ly/2lq9LMl, http://bit.ly/3499Ghe",Uncategorized,4
51982,US-Mexico Border,"August 28, 2019",2019,Aug,1,,1,,,1,,Dehydration,"Ranch in Dimmit County, Texas, USA","SuperChannel12, Zócalo","28.411651400000, -99.812493500000",Central America to US,"http://bit.ly/2jSFdCs, http://bit.ly/2kdDqZ4",Northern America,3
51980,Mediterranean,"August 28, 2019",2019,Aug,,7,7,100,,5,,Presumed drowning,Unspecified location off the coast of Libya,"Mediterranea Saving Humans, IOM Italy","34.074975531751, 14.804481898594",Central Mediterranean,https://yhoo.it/32c805o,Uncategorized,4
51996,South America,"August 28, 2019",2019,Aug,1,,1,,,1,,Suicide,"Zámbiza bridge, north of Quito, Ecuador, while en route to Guayaquil, Ecuador","El Universo, Metro Ecuador","-0.145943800000, -78.445259200000",,"http://bit.ly/2lCdA13, http://bit.ly/2kpKx0F",South America,3
51979,US-Mexico Border,"August 28, 2019",2019,Aug,1,,1,,,1,,Drowning,"Río Bravo, near congregación Los Rodríguez, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel12","28.720081977572, -100.508130855280",Central America to US,"http://bit.ly/2ZrrKVZ, http://bit.ly/2LiNtFu",Central America,3
51978,Mediterranean,"August 27, 2019",2019,Aug,11,29,40,64,1,2,2,Presumed drowning,"Off the coast of Al-Khums, Libya","IOM Libya, MSF, UNHCR","33.186025070051, 14.631463370694",Central Mediterranean,"http://bit.ly/30L8ijo, http://bit.ly/2ZoLQzV, http://bit.ly/2NHVTJp",Uncategorized,4
52431,Mediterranean,"August 27, 2019",2019,Aug,1,,1,18,,,,Presumed drowning,"Off the coast of Sfax, Tunisia","Tunis Webdo, Xinhua","34.794857389741, 11.066638902114",Central Mediterranean,"http://bit.ly/2lXZgQs, http://bit.ly/2khKfZq",Uncategorized,3
51981,Central America,"August 27, 2019",2019,Aug,1,,1,,,1,,Unknown,"Ciudad Nicolás Romero, State of Mexico, Mexico","La Tribuna, Abriendo Brecha TV","19.616203300000, -99.300118100000",,"https://bit.ly/2lT6K7H, http://bit.ly/2lWcbCL",Central America,3
52420,US-Mexico Border,"August 27, 2019",2019,Aug,1,,1,,,1,,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.969853700000, -111.427588800000",Central America to US,http://www.humaneborders.info/,Northern America,5
51977,Europe,"August 26, 2019",2019,Aug,6,,6,10,,6,,Vehicle Accident,"Near Loutra, Alexandroupoli, Greece",IOM Greece,"40.862794800000, 26.033687200000",,https://bit.ly/2Zh7d6c,Southern Europe,4
53467,North Africa,"August 26, 2019",2019,Aug,2,,2,,1,1,2,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"31.764020000000, 14.035110000000",,,Northern Africa,2
